	Green	Pink	Brown	S1	S2
denovo20468	0	1	0	0	1
denovo21736	0	0	0	1	0
denovo21731	0	0	0	0	1
denovo21730	0	0	0	1	0
denovo1071	0	0	0	1	0
denovo1070	0	0	0	1	0
denovo1073	0	0	0	1	1
denovo1072	0	0	1	0	0
denovo1075	0	1	0	0	0
denovo1074	0	0	0	0	1
denovo21739	0	0	0	0	1
denovo1076	0	0	1	0	0
denovo19679	0	0	0	1	0
denovo19678	0	0	0	1	0
denovo19675	3	0	0	0	0
denovo19674	0	0	1	0	0
denovo19677	1	0	0	0	0
denovo19676	0	1	0	0	0
denovo19671	1	0	0	0	0
denovo19670	1	0	0	0	0
denovo19673	0	0	1	0	0
denovo19672	0	0	1	0	0
denovo18078	1	0	0	0	0
denovo18079	0	1	0	0	0
denovo18074	1	0	0	0	0
denovo18075	0	0	1	0	0
denovo18076	1	0	0	0	0
denovo18077	0	0	1	0	0
denovo18070	0	1	15	10	8
denovo18071	0	1	0	2	0
denovo18072	1	0	0	0	0
denovo18073	0	0	1	0	0
denovo20909	1	0	0	0	0
denovo20908	0	1	0	0	0
denovo20907	0	0	1	0	0
denovo20906	0	0	2	0	0
denovo20905	0	0	1	0	0
denovo20904	0	0	1	0	0
denovo20903	0	0	0	1	0
denovo20902	1	0	0	0	0
denovo20901	1	0	0	0	0
denovo19323	0	0	1	0	0
denovo19322	0	0	1	0	0
denovo10209	0	0	0	1	0
denovo10208	0	0	0	1	0
denovo10207	0	0	1	0	0
denovo10206	2	0	0	0	0
denovo10205	0	0	1	0	0
denovo10204	0	0	1	0	0
denovo10203	0	0	1	0	0
denovo10202	0	0	1	0	0
denovo10201	0	0	1	0	0
denovo16253	0	0	0	1	0
denovo14188	0	0	1	0	0
denovo14189	0	1	1	1	0
denovo14180	0	0	0	1	0
denovo14181	0	0	0	1	0
denovo14182	0	1	0	0	0
denovo14183	0	0	0	1	0
denovo14184	0	0	0	3	0
denovo14185	0	1	0	0	0
denovo14186	1	0	0	0	0
denovo14187	0	0	1	0	0
denovo15583	0	0	0	2	0
denovo15582	0	0	0	1	0
denovo15581	1	0	0	0	0
denovo15580	1	0	0	0	0
denovo15587	0	0	1	1	0
denovo15586	0	0	0	1	0
denovo15585	1	0	0	0	0
denovo15584	0	1	0	1	0
denovo15589	0	1	0	0	0
denovo15588	0	1	0	0	0
denovo14232	0	0	0	1	0
denovo14233	1	0	0	0	0
denovo14230	0	0	1	1	0
denovo14231	0	2	0	0	0
denovo14236	0	1	0	0	0
denovo14237	0	0	0	1	0
denovo14234	0	0	0	1	0
denovo14235	0	0	1	0	0
denovo14238	1	0	0	0	0
denovo14239	0	0	0	1	0
denovo1862	0	0	0	0	1
denovo1863	0	0	0	1	0
denovo1860	0	0	0	1	0
denovo1861	0	0	0	0	1
denovo1866	0	2	0	0	0
denovo1867	1	0	0	0	0
denovo1864	0	0	0	1	0
denovo1865	0	1	0	0	0
denovo1868	0	0	1	0	0
denovo1869	0	0	0	3	0
denovo22679	1	0	0	0	0
denovo22678	0	0	0	0	1
denovo12177	1	0	0	0	0
denovo12176	0	1	0	0	0
denovo12175	0	3	0	2	1
denovo12174	0	0	0	0	1
denovo12173	0	1	0	0	0
denovo12172	0	0	0	1	0
denovo12171	0	1	0	0	0
denovo12170	0	2	0	0	0
denovo12179	0	0	1	0	0
denovo12178	0	0	0	1	0
denovo20297	0	1	0	0	0
denovo20296	0	0	0	0	2
denovo20295	0	0	0	0	1
denovo20294	0	0	1	0	0
denovo20293	0	1	0	0	0
denovo20292	0	0	0	1	0
denovo20291	1	0	0	0	0
denovo17528	1	0	0	0	0
denovo17527	0	0	0	1	0
denovo17526	1	0	0	0	0
denovo17525	0	0	0	1	0
denovo17524	0	0	0	1	0
denovo17523	0	1	0	0	0
denovo17522	0	0	0	1	0
denovo20299	0	0	0	1	0
denovo17520	0	0	0	1	0
denovo8357	0	0	1	0	0
denovo8356	0	1	0	0	0
denovo8355	0	2	0	0	0
denovo8354	0	0	1	3	4
denovo8353	0	1	8	16	24
denovo8352	0	0	0	1	0
denovo8351	0	1	0	0	0
denovo8350	0	1	0	0	0
denovo20121	0	1	0	0	0
denovo20120	0	0	0	1	0
denovo20123	1	0	0	0	0
denovo20122	0	0	0	0	1
denovo20125	0	0	0	1	0
denovo20124	0	0	1	0	0
denovo8359	0	1	0	0	0
denovo8358	0	1	0	0	0
denovo24639	1	0	0	0	0
denovo24638	1	0	0	0	0
denovo24631	1	0	0	0	0
denovo24630	0	1	0	0	0
denovo24633	0	1	0	0	0
denovo24632	0	0	1	0	0
denovo24635	0	0	1	0	0
denovo24634	0	0	1	0	0
denovo24637	0	0	1	0	0
denovo24636	0	0	0	1	0
denovo7839	0	1	0	0	0
denovo7838	0	0	0	1	0
denovo7833	3	0	0	0	0
denovo7832	0	0	1	0	0
denovo7831	0	0	0	1	0
denovo7830	0	0	0	0	1
denovo7837	0	1	0	0	0
denovo7836	0	1	0	0	0
denovo7835	0	0	0	0	1
denovo7834	0	1	0	0	0
denovo16698	0	1	0	0	0
denovo16699	1	0	0	0	0
denovo16696	0	0	0	5	2
denovo16697	0	0	0	0	1
denovo16694	0	0	0	0	1
denovo16695	0	1	0	0	0
denovo16692	0	0	0	0	1
denovo16693	0	1	0	0	0
